Major,Early Career Pay,Mid-Career Pay,% High Meaning
Computer Information Systems,55700,97700,43
Real Estate,56400,97700,38
Molecular Biology,50500,97700,70
Operations Management (OM),58000,97300,43
Cybersecurity,63000,97200,55
Manufacturing,54100,97200,56
Construction Trades,56300,97100,57
International Relations,49900,96800,49
Politics,50600,96800,53
Economics & Management,52700,96600,
Industrial Hygiene,55800,96200,55
Software Development,61000,96000,44
Telecommunications Management,49800,96000,46
Supply Chain Management,59000,95900,41
Mechanical Engineering Technology (MET),61200,95800,48
Accounting & Auditing,55400,95700,42
Network Security,57500,95700,47
Entrepreneurship & Leadership,52300,95600,46
Geological Engineering,59100,95600,57
Product Design,58600,95500,40
Electronics,57000,95400,61
Food Marketing,54500,95400,25
Safety Management,57400,95400,70
German Studies,47400,95300,43
Industrial & Labor Relations,63800,95300,51
Agricultural Economics & Business,51400,95200,55
Aviation Management,48400,95200,53
Biochemistry (BCH),47500,95100,60
Computer Science (CS) & Business,60800,95000,40
Construction Science & Management,61500,95000,68
Accounting & Finance,55800,94900,45
Comparative Literature,44600,94900,45
International & Comparative Politics,46100,94900,49
East Asian Studies,46900,94800,43
Logistics & Supply Chain Management,56200,94400,46
Russian & Eastern European Studies,50800,94400,
Occupational Health and Safety,57100,94300,68
Aviation,50000,94000,42
Manufacturing Technology,57100,94000,45
Physical Therapy,53500,93900,90
Labor Relations,48900,93900,39
Government & International Politics (GVIP),49800,93800,46
Information Technology (IT),56100,93800,45
City & Regional Planning,49700,93700,70
Information Science (IS),62600,93700,38
Business & Marketing,47800,93600,44
Agribusiness,48000,93400,53
Management Studies,43500,93400,73
Industrial Design (ID),52100,93100,41
Chemistry,49200,93000,55
Information Technology (IT) & Systems,58600,93000,47
Environmental Health & Safety,54500,93000,67
Electronics Engineering Technology (EET),61600,92900,53
Organizational Behavior,54000,92900,49
Analytical Chemistry,54800,92800,69
Computer Engineering Technology (CET),60100,92800,48
Food Science & Technology,50200,92800,49
Project Management,54100,92700,54
Technical & Scientific Communication,48900,92400,40
Finance & Banking,52600,92300,51
Hotel Administration,61500,92100,43
Mechanical Design,57700,92100,49
Biomedical Sciences,41200,92000,70
International Trade & Business,52300,91900,28
Commerce Economics,51200,91800,31
Latin American Studies,44300,91700,63
Structural Design & Construction Engineering Technology,66500,91700,46
Civil Engineering Technology (CET),55600,91700,62
Government & Politics,50000,91500,49
Aviation Flight Science (AFL),49900,91400,45
Business & Finance,52800,91400,49
Marketing,49200,91400,39
Applied Statistics,62000,91300,46
Biopsychology,50200,91300,73
Industrial Technology (IT),57800,91300,51
Manufacturing Engineering Technology,61500,91300,52
Music Production & Engineering,42100,91100,50
Networks & Telecommunications,52900,91100,57
Chemistry & Environmental Science,46000,91000,67
Microbiology & Immunology,51500,91000,68
Accounts,57000,90900,42
Risk Management,59600,90900,33
Environmental Science & Policy,47300,90700,60
Dairy Science,49500,90600,72
Sales & Marketing,48500,90600,44
Welding Engineering Technology,72000,90400,45
Industrial Psychology,47000,90200,49
Marketing & Management,47200,90200,44
Transportation & Logistics Management,52700,90200,47
Marketing Management,48300,90100,43
Watershed Hydrology & Management,45500,90100,49
Electromechanical Engineering,67100,90000,54
Transportation,59100,90000,50
Advertising Design,49300,89700,29
Management & Finance,52500,89700,53
Risk Management & Insurance,56300,89700,44
Geology,48200,89600,55
Information Assurance,55600,89500,58
Political Science,47900,89500,48
Philosophy,48700,89400,41
Radiation Therapy,65600,89400,91
Cell Biology,48200,89300,61
French Literature,44200,89300,50
Web Design & Development,50600,89300,46
Meteorology,44500,89300,60
Biological Sciences,46200,89200,65
Occupational Therapy (OT),55100,89200,90
Environmental Policy Analysis & Planning,47200,89100,62
Entrepreneurial Studies,46700,88900,35
Financial Accounting,53400,88900,51
Political Science/Public Law,43900,88900,61
Quality Management,53400,88900,64
Aeronautics,59100,88800,65
Applied Computer Science,62900,88800,48
Accounting,51700,88700,42
Broadcasting Technology,40000,88700,
Food Science,49900,88700,46
Marketing & Communications,46600,88700,43
Urban Planning,48100,88500,54
Manufacturing Management,60400,88500,49
Insurance,53000,88400,42
Business Data Analysis,60400,88300,38
Environmental Design,45400,88300,55
Advertising,44800,88200,33
Cinema Studies,45400,88200,32
Financial Management,51000,88200,51
Advertising & Marketing Communications,46000,88100,36
Operations & Supply Chain Management,57800,88100,44
Computer Information Management,46800,88000,62
Global & International Studies,45900,87800,49
Computing & Information Systems (CIS),50800,87800,42
Architecture,48300,87800,55
Environmental & Natural Resource Economics,49100,87600,60
Labor Studies,44100,87500,49
Aviation Technology,52600,87400,52
Social Ecology,46700,87400,60
Classics,45000,87300,39
Marketing Communication,43600,87300,40
Geographic Information Systems (GIS) & Spatial Analysis,51700,87200,56
Organizational Psychology,48300,87200,45
European History,49700,87100,50
Urban & Regional Planning,47500,87000,59
Real Estate Development,54400,86800,
Applied Technology,52900,86700,60
Entomology,44000,86700,
Architectural Engineering Technology,49900,86600,59
Public Affairs,49700,86600,53
Entrepreneurship,51400,86500,45
Business Management & Marketing,45800,86400,47
Digital Arts,43200,86300,32
Industrial Safety,53200,86200,78
Logistics,54800,86200,37
Hotel Management,44500,86100,44
Cell & Molecular Biology,48900,86000,66
Global Business Management,53200,86000,51
Technical Management,57800,85900,65
Computer & Network Administration,54100,85900,47
Police Science,53400,85800,
Pre-law,44700,85800,46
Business Communication,47600,85600,47
Microbiology,46200,85600,68
Professional Aeronautics,57700,85600,68
Advertising & Promotion,42400,85500,45
Network Systems Administration,53500,85400,50
Construction Technology,55500,85300,47
Electronic & Computer Technology,61300,85000,
Marketing & Advertising,47200,85000,53
Electronic Systems Technology (EST),61800,84900,
International Studies,47500,84800,51
Construction Engineering Technology,53000,84700,57
Applied Science,44100,84600,56
Accounting Information Systems,60000,84500,51
Environmental Health,48100,84500,72
Technology,53400,84500,64
Biosystems Engineering,62000,84200,75
Fashion Design,44800,84100,26
Agribusiness Management,47600,84000,46
German Language,48200,84000,41
Professional Pilot Education,59800,83900,
Textile Technology,51500,83900,31
Manufacturing Systems,71700,83600,
Diagnostic Medical Ultrasound,60800,83500,70
Marketing & Mass Communications,41800,83500,40
General Business,47600,83400,52
Computer Graphics Technology (CGT),46800,83400,40
Agricultural Systems Technology,54000,83300,58
Health Care,41700,83300,71
Hospital Administration,49600,83300,53
Personal Financial Planning,51200,83300,59
Business Technology Management,52900,83200,48
Health Policy & Administration,48300,83100,65
Math & Science,54400,82900,62
Architectural Design,46000,82800,59
Environmental Science,46500,82800,60
Advertising & Marketing,46300,82700,38
Animation,43100,82700,36
General Science,46900,82600,62
Biology & Chemistry,46700,82500,66
American Studies,49000,82400,50
Product Design Engineering,61500,82400,39
Aviation Maintenance Technology,49800,82300,58
Film Studies,42500,82300,40
Magazine Journalism,44500,82300,26
Web & Digital Media Development,48400,82200,34
Digital Media Design,45200,82000,36
English Literature,45400,82000,45
History & Politics,47200,82000,49
Human Biology,48400,82000,68
Business Management & Human Resources Management (HRM),44700,81900,58
Architectural Technology,44700,81900,56
Design,49400,81900,41
Philosophy & Religion,41800,81900,55
Physiology,46900,81900,62
Business Administration,49700,81700,50
French Studies,49500,81700,53
Land Surveying,48700,81700,56
Management,49000,81600,48
Geographic Information Systems (GIS),47100,81500,53
Interactive Media Design,51800,81500,40
Architectural Studies,43100,81400,42
Business Administration & Accounting,50300,81300,53
Industrial Arts,46500,81300,65
Textile Design,47400,81200,40
Textile & Apparel Studies,43800,81100,28
Accounting & Management,49700,81000,53
Nursing Science,63700,80900,84
Business Management,48800,80800,50
Linguistics,49300,80800,45
Agronomy,49100,80700,64
Corporate Communications,45300,80700,41
Neuroscience,47800,80700,59
Communication Studies & Journalism,42500,80600,49
Sociology & Organizational Studies,48200,80500,54
Nursing,61700,80400,84
Toxicology,43800,80300,
History,45300,80300,46
Agricultural Science,46900,80300,57
Biology,44500,80200,65
Crop Science,45200,80200,67
French Language,46600,80200,48
Environmental Studies,45900,80100,59
Management (MGT),44800,80100,57
Communication,45300,79900,45
General & Strategic Management,48900,79800,53
Merchandising Management,44200,79800,35
Dental Hygiene,70400,79600,79
Hydrology,45300,79600,
Global Business,53200,79500,37
Retail & Consumer Science,48500,79500,34
Literature,44400,79500,44
Emergency Management,49600,79400,78
Interpersonal & Organizational Communication,40300,79400,56
Nuclear Medicine,57800,79400,84
History & Political Science,48400,79300,51
Retail Merchandising,48000,79200,33
Agriculture,45300,79100,61
Environmental Management,47300,79100,61
Professional & Technical Writing,46000,79100,46
International Development Studies,45500,79000,64
Workforce Education & Development,57100,79000,74
Journalism & Mass Communication,43700,79000,45
Pre-Medicine,48400,78900,65
Bachelor in Science Nursing,61000,78800,81
Network Technology,54900,78800,57
Theatre & Drama Studies,41500,78600,49
Law,51900,78500,51
Law Enforcement,43800,78400,57
Printing Technology,43800,78400,
Public Relations & Communication,43600,78400,46
Foreign Languages,47800,78300,57
Interior Architecture,45100,78300,47
Marine Science,44000,78300,58
Public Management,47800,78300,60
Web Development,54100,78300,53
Journalism,43500,78200,45
Landscape Architecture,49000,78200,67
Environmental Geography,47100,78200,52
Bachelor of Science in Nursing,60700,78100,83
Digital Media,44500,78000,39
Welding Technology,46100,78000,
Nutrition Science,45900,77800,67
Accounting & Business,49400,77600,49
Diagnostic Medical Sonography,62200,77600,85
American History (United States),47800,77500,55
Strategic Communication,44600,77500,42
Public Relations (PR),43000,77400,43
Natural Sciences,41700,77300,51
International Affairs,49100,77200,53
Drama,43900,77200,46
Network Administration,46900,77200,55
Media Studies,48300,77100,36
Organizational Development,51600,77000,52
Writing,41800,77000,43
Integrated Marketing Communications,44600,76900,34
Crisis & Emergency Management,46600,76800,77
Organizational Communication,44000,76800,49
Retailing,48900,76800,27
Speech Communication,43900,76800,55
Allied Health,41800,76700,79
Environmental Biology,43000,76700,66
Nuclear Medicine Technology,58900,76700,81
Apparel & Textile Manufacture,45700,76600,36
Technology Management,53900,76500,45
Film Production,42700,76400,32
Security Management,44800,76400,
Acting,42200,76200,48
Broadcast & Cinematic Arts,41900,76200,41
Business Management & Administration,48600,76200,53
Marine Biology,40800,76200,61
Professional Studies,42100,76200,64
Romance Languages,50300,76200,54
Computer Animation,44500,76100,31
Cytotechnology,58100,76000,90
Broadcast Journalism,41100,76000,49
Geography,46900,76000,52
Journalism & Electronic Media,42100,75900,50
Automotive Technology,45800,75800,46
Interpersonal Communications,43100,75800,48
Law & Society,44400,75700,50
Agricultural Business,50300,75600,50
Ancient History,43900,75600,
Computer Aided Design (CAD),46500,75500,
Computer Art,41200,75500,30
Administration,43100,75400,56
Forestry,44700,75400,66
Urban Studies,48600,75300,56
Business Law,51100,75100,44
Radio/Television & Film Production,42800,75000,39
Digital Design,48200,74800,38
Forensic Science,43800,74800,62
Geosciences,46600,74800,63
Logistics Management,52800,74800,47
Ecology,43500,74700,53
English & History,43600,74700,48
English Language & Literature,43900,74700,44
American Sign Language Interpreting,42500,74600,85
Homeland Security,46800,74600,71
Zoology,40300,74600,67
English Language,42100,74500,47
Human Resources Management (HRM),45300,74400,55
Technical Writing,52000,74300,45
Automotive Technology & Service Management,45400,74300,36
Business Technology,49800,74100,45
Mass Communication,42700,74100,44
Health Sciences,42400,74000,70
Organizational Leadership,47400,74000,56
Musicology,38100,73900,
Spanish Language,44900,73600,53
Historic Preservation,41300,73500,52
Music Technology,42900,73500,38
Organizational Leadership & Supervision,46400,73500,50
Human Nutrition,45500,73400,84
Spanish Language Teacher Education,43900,73400,
Botany,40300,73300,72
Apparel Merchandising,45400,73200,35
Environmental Health Science,51400,73100,64
Media & Technology,41400,73100,48
Public Administration,44200,73100,58
Liberal Arts,42500,73000,53
Merchandising,50500,73000,30
Environmental Resource Management,45700,72900,62
Computer Aided Drafting & Design (CADD),46800,72800,54
Forestry Management,44300,72800,73
German Language & Literature,46100,72700,48
Electronics & Computer Technology,51700,72700,
Administrative Management,50100,72600,50
Cardiopulmonary Science,45800,72600,89
3D Animation,49400,72500,44
Ethnic Studies,44900,72300,62
Adult Education & Training,46200,72200,79
Health Administration,40700,72200,69
Agricultural Communication,42600,72100,51
Organizational Management,46900,72100,57
Multimedia,42800,72000,42
Communication Design,48700,71900,34
Radiologic Science,54900,71800,81
Exercise Physiology,41600,71700,78
Criminal Justice Administration,43700,71600,55
Natural Resource Management,43800,71500,60
Diagnostic Medical Imaging,57900,71400,74
Earth Science,48200,71400,50
Hotel & Restaurant Management,44600,71400,48
Radiology,51600,71300,84
Art History,44400,71200,46
Hospital Management,48500,71200,34
Retail Management,45700,71200,37
English & Psychology,41100,71100,47
Human Resources (HR),44800,71100,54
Management & Organization,53900,71100,68
Painting & Printmaking,32800,71100,41
Visual Effects & Motion Graphics,47400,71100,43
Medical Laboratory Technology,54100,71000,82
Fashion Merchandising,44100,71000,30
Multimedia & Web Design,47500,70900,34
Advertising & Graphic Design,44600,70800,37
Anthropology,43500,70800,46
Broadcast Communication,37900,70800,48
Communication Management,42500,70800,37
Health Care Administration,43600,70800,70
Natural Resources,44900,70700,66
Psychology,42000,70700,56
Visual Communications,43000,70700,37
Applied Behavior Analysis,36900,70600,
Travel Industry Management,51800,70600,
Humanities,43800,70500,48
Sociology & Anthropology,41900,70500,48
Communication Arts,40400,70500,41
Creative Writing,42800,70400,43
Anthropology & English,44900,70300,58
Modern Languages,48600,70300,52
Health Care Management,44000,70200,71
Health Teacher Education,35500,70200,52
Radiologic Technology,52100,70200,82
Health & Fitness,38000,70100,67
Animal Science & Management,42100,70000,54
Criminology,42400,70000,54
Hospitality Management,43600,70000,43
Art Administration,36800,70000,58
Human Relations,41100,70000,62
Health Information Management,46200,69900,69
Medical Laboratory Science,53000,69900,84
Liberal Studies,42300,69800,57
Secondary & Middle School Mathematics Teacher Education,43100,69800,71
Fashion Design & Marketing,42200,69700,39
Art & Design,42400,69600,39
Physical Anthropology,49300,69600,39
Sports Management,42900,69600,43
Life Sciences,51900,69400,59
Respiratory Care,52300,69200,84
Audio Engineering,45900,69100,37
Social & Criminal Justice,42300,69100,58
Child Psychology,37100,68900,64
Interior Design,42400,68900,50
Small Business Management,43900,68900,40
Turfgrass Management,47700,68900,49
Medical Technology,53300,68800,80
Religious Studies,41000,68800,57
Hotel & Restaurant Tourism,42500,68700,46
Sociology,43700,68600,54
Arts & Science,43900,68500,68
Secondary Education,42700,68500,62
Speech Pathology & Audiology,41500,68500,77
Theater,42400,68400,48
Archaeology,43900,68300,45
Illustration,42900,68300,36
Radiography,52700,68300,82
Media Arts,44000,68200,39
Clinical Laboratory Science,52400,68100,83
Graphics Technology & Management,38800,68100,36
Psychology & Social Behavior,44100,68100,56
Health Management,42000,68000,68
Media Communication,44300,68000,42
Mass Media,38100,67900,46
Nutrition,45100,67900,68
Performing Arts,42900,67800,52
SocialStudies,43700,67700,57
Italian Language,47800,67600,40
Social Studies,44100,67500,61
Commercial Photography,42000,67300,23
Radio & Television,40800,67200,40
Respiratory Therapy,52300,67200,82
Art Therapy,39200,67100,81
Biological Anthropology,41900,67100,44
Drafting & Design,48900,66800,59
Geomatics,49000,66800,65
Clinical Nutrition,47600,66700,73
Horticulture & Agronomy,46400,66700,58
Graphic Communication,44700,66600,29
Plant Sciences,45800,66600,60
Kinesiology,42100,66600,66
Fire Science,47200,66600,71
Fashion Marketing & Management,45200,66500,30
Music,41800,66500,54
Nutrition & Dietetics,48500,66500,72
Health,41900,66400,73
Legal Studies,44400,66400,49
Criminal Justice,40600,66300,56
Wildlife & Fisheries Science,38300,66300,59
Forensic Psychology,40800,66200,52
Graphic Design,42600,65800,37
Dramatic Art,38900,65700,
Hospitality & Tourism,41500,65600,41
Religion,41100,65600,62
Pre-Veterinary Medicine,37600,65600,72
Sports Medicine,45700,65400,74
Women's Studies,42700,65400,59
Fine Arts,40400,65300,45
Public Health (PH),43400,65300,70
Modern Language Spanish,41100,65200,51
Museum Studies,37600,65200,47
Business Leadership,47700,65100,46
Dietetics,48700,65100,75
Forensic Accounting,44200,65100,39
Landscape Management,49300,65100,
Speech-Language Pathology,41700,65100,70
Animal Science,39000,64900,64
Family & Consumer Science,40500,64900,57
Drawing & Painting,40600,64500,48
Music Industry,44400,64500,38
Technical Theatre,39100,64500,41
Foods & Nutrition,45000,64400,70
Physical Therapist Assistant Studies,49100,64400,85
Recreation Management,40300,64400,58
Interdisciplinary Studies (IS),42200,64200,56
Education,41800,64100,67
Applied Linguistics,44100,64000,40
Applied Sociology,40100,63800,57
Business & Healthcare Management,44700,63800,67
Music Composition,42300,63700,51
Physical Education & Exercise Science,41000,63700,78
Behavioral Science,40400,63500,61
Psychology & Sociology,40600,63400,52
General Studies,41200,63300,53
Culinary Arts & Culinary Management,36100,63200,51
Theatre Arts,40900,63200,49
Technology Teacher Education,46400,63100,47
Art,40600,63000,46
Textiles & Clothing,42900,63000,46
Video Production,42800,62800,38
Training and Development,50200,62500,
Theology,39300,62300,69
Restaurant & Food Service Management,41500,62300,45
Missions,41400,62200,
Event Management,39500,62100,42
Clinical Psychology,40900,62000,66
Developmental Psychology,31000,62000,
Physical Education Teaching,39600,62000,71
Theatre,39700,62000,48
Sports Administration,41200,61900,53
Drawing,36400,61800,35
Health & Exercise Science,40100,61800,67
Agricultural Teacher Education,51000,61700,53
Graphic Arts,41100,61600,39
New Media,44700,61600,32
Health Services Administration,40800,61500,64
Interior Design & Merchandising,40800,61400,38
Exercise Science,38900,61300,73
Electronic Media,43700,61200,38
Exercise & Sports Science,40400,61200,70
Psychiatry,54700,61200,
Supervision & Management,39400,61200,57
African American & African Studies,43600,61100,61
Culture Studies,44800,61000,41
Printmaking,36800,61000,41
Secondary English Teacher Education,40000,61000,67
Community Health Education,40200,60900,75
Culinary Arts,36700,60900,46
Wildlife Management,37800,60800,49
Psychology & Philosophy,45400,60800,40
Mortuary Science,40600,60700,81
Paralegal Studies,37700,60600,51
Health Studies,40600,60500,65
Social Psychology,44400,60500,55
Health Services Management,39300,60400,83
Emergency Medical Services (EMS),41600,60300,
Recording Arts,40500,60300,44
English Teacher Education,41300,60200,56
Social Science Teacher Education,42100,60200,
Social Studies Teacher Education,42400,60200,65
Music Teacher Education,39100,60000,66
Photography,41500,60000,38
Teaching English as a Second Language (ESL),41600,59900,75
Health & Physical Education Teaching,37000,59900,64
Human Development,40700,59700,65
Painting,38700,59700,44
Radio Broadcasting,43200,59700,
Recreational Studies,40500,59700,68
Speech Pathology,40500,59500,70
Recreation Administration,45000,59400,70
Dance,42600,59200,61
Recreation & Leisure Studies,38800,59100,63
Arts Management,37400,59000,44
University Studies,40000,59000,51
Photojournalism,39700,59000,66
Organizational Administration,42900,58900,
Health & Medical Services Administration,37900,58800,83
Tourism Management,40600,58800,38
Communicative Disorders,45200,58800,73
Sculpture,38400,58700,44
Consumer Affairs,49200,58600,48
Social Services,38000,58600,80
Community Health,42900,58500,69
Justice Studies,43300,58500,50
Landscape Design,48900,58500,65
Horticulture,41300,57800,60
Wildlife Biology,41000,57800,59
Gender Studies,43100,57700,55
Nonprofit Management,40400,57200,77
Athletic Training,39700,57000,76
Human Development & Family Studies,38300,56800,66
Biblical Studies,38700,56700,73
Health Promotion,40000,56700,69
Home Economics,38200,56500,65
Theatre Studies,43100,56500,51
Teaching,39600,56400,72
Counseling Psychology,39200,56200,65
Health & Human Performance,36200,56200,69
Library & Information Science,44700,56000,54
Art Teacher Education,37500,55900,62
Hospitality & The Culinary Arts,37400,55900,
Musical Theatre,41800,55900,46
Clinical Social Work (CSW),41700,55800,
Biblical Studies & Practical Ministries,35100,55700,78
Rehabilitation Services,34100,55700,79
Parks & Recreation Management,40600,55600,57
Pastoral Ministry,37300,55600,84
Legal Assistant Studies,36400,55500,39
Applied Management,43600,55400,
Social Welfare,44900,55300,71
Tourism & Travel,40600,55300,40
Vocal Performance,38900,55300,65
Audio Production,43700,54700,37
Bible Studies & Theology,38100,54700,66
Church Ministries,38100,54600,82
Family Studies,35900,54500,71
Special Education,39200,54500,78
Ceramics,39900,54400,48
Communication Sciences & Disorders,40900,54400,76
Family & Community Services,38500,54400,74
Speech & Hearing,41400,54300,79
Community Development,42100,53900,65
Health and Human Services,41500,53700,66
Office Management,37800,53400,50
Psychology & Human Services,35000,53300,78
History Teacher Education,45400,53000,45
Youth Ministry,35300,52300,82
Therapeutic Recreation,37700,52300,82
Community & Human Services,40500,52100,78
Christian Ministry,35500,52000,80
Elementary Education,37700,51600,71
Social Work (SW),36600,51600,77
Office Administration,38200,51200,61
Voice & Opera,32900,50800,61
Elementary Teaching,34400,50700,76
Human Services (HS),36600,50700,70
Baking & Pastry Arts,36000,50600,47
Human Services Management,43500,50500,
Counseling,37100,49300,78
Recreational Therapy,36400,49200,82
Child Development,35500,49100,76
Middle School Education,39000,48300,73
Educational Psychology,34600,47600,
Early Childhood & Elementary Education,36200,46500,78
Rehabilitation Counseling,38000,46100,
Addiction Studies,36300,44800,83
Outdoor Education,35800,44200,57
Child & Family Studies,34100,43600,74
Early Childhood Education,34100,43300,78
Mental Health,35200,42500,
Medical Assisting,35100,42300,
Addictions Counseling,38800,42200,
Metalsmithing,38300,38400,32
